"","date","CI005187.WI","CI005188.WI","CI005189.WI","CI005190.WI","CI005191.WI","CI005192.WI","CI005193.WI","CI005194.WI","CI005195.WI","CI005196.WI","CI005197.WI","CI005198.WI","CI005199.WI","CI005800.WI","CI005801.WI","CI005802.WI","CI005803.WI","CI005804.WI","CI005805.WI","CI005806.WI","CI005807.WI","CI005808.WI","CI005809.WI","CI005810.WI","CI005811.WI","CI005812.WI","CI005813.WI","CI005814.WI","CI005815.WI","CI005816.WI","CI005817.WI","CI005818.WI","CI005819.WI","CI005820.WI","CI005821.WI","CI005822.WI","CI005823.WI","CI005824.WI","CI005825.WI","CI005826.WI","CI005827.WI","CI005828.WI","CI005829.WI","CI005830.WI","CI005831.WI","CI005832.WI","CI005834.WI","CI005835.WI","CI005836.WI","CI005837.WI","CI005838.WI","CI005839.WI","CI005840.WI","CI005841.WI","CI005842.WI","CI005843.WI","CI005844.WI","CI005845.WI","CI005846.WI","CI005847.WI","CI005848.WI","CI005849.WI"
"34",2020-08-07,-1.36278903500519,0.39217967369319,0.341712786965679,0.132788655869691,-0.717600498717523,0.9623314392674,-0.403561176251853,-1.00073131345752,0.245392380704365,0.140580017930544,-0.679826165253544,-0.675812501053322,0.314382024591019,0.114273463681489,-0.670306083520706,-0.198685036920451,-0.96324709283863,-1.34953786631957,-0.5969050321763,-0.275944267447076,0.187655816417412,-1.09971606513884,-0.532950463041416,-1.09211186741407,0.308808808678871,-1.15382901830007,0.806209078488961,-0.270868762805911,-1.32260624754308,-0.476323694292368,-0.964645138702211,-0.842924689984562,-1.22015378027017,-0.210591163021871,-1.24328950533442,1.0521242085094,2.38055728917756,-1.59055786941364,-0.673491629154876,-1.36930495753078,-1.02461903998669,0.299479114833022,1.14453693294799,-0.938970603762119,-1.63239283912122,1.51620262763224,-0.508621828090397,-1.61605435694694,-1.0166313711489,-0.8168231547835,-1.0186787484937,-1.45713576825477,-1.18616781962099,-1.20958409099442,-0.680815298480095,-0.728249849016508,-1.27344057615832,-0.989445297870648,-1.71792501113539,-1.24919743102158,-1.72395686301517,-1.16119847183854
"35",2020-08-14,-1.32250998963837,0.00913739109022564,-0.0969826766153431,-0.469576486650696,-0.778886776844586,0.294500686492102,-0.71903470336949,-1.2060343463769,-0.725272813556018,0.622366503905698,-0.231178817607608,-0.585928293826533,0.545268916506864,-0.408702517991093,-1.23979809687731,-0.304964794760847,-1.17522799023549,-1.56989517948326,-0.546485930829452,-0.463265976879166,-0.638456490684489,-1.20756393424587,-0.43666167669738,-0.63086181507426,-0.476316968339617,-1.29532115316973,0.241281648275894,-0.494295551143494,-1.37540188632473,-1.25156083028289,-1.26941292400438,-1.04739526804593,-1.43108650149814,0.0861989334861623,-1.0600347170528,1.2854590496694,2.58421270311816,-1.37105120356431,-1.30149782497975,-1.17718359379641,-1.01412324570078,-1.09867104609923,0.512865555933211,-0.824973915883392,-1.82753476619341,1.52780741053561,-0.761911818749493,-1.63775818806866,-1.34833731978906,-1.32972752081065,-1.3558913342072,-1.36288993188912,-1.22381857387481,-1.56289550897998,-1.10291738077243,-1.2048549950646,-1.33886694634646,-1.39160658478356,-1.70529857654775,-1.37408859283295,-1.81622151094553,-1.43056828803815
"36",2020-08-21,-1.53095332037644,0.950370660462893,0.00847287512480886,-0.0446179774649118,-1.00918104206016,0.526922159812112,-0.06390872700402,-0.828823102856472,-0.715391476711446,-0.00885699866827571,-0.0889143326264239,-0.721380992345509,0.279617554153415,0.114782410768259,-0.586114992608475,-0.632340455064218,-1.11804550369908,-1.63842164160417,-0.106112187300413,0.0986409802052929,0.350070343508311,-1.09860851618324,0.141714633853165,-0.127711142714946,-0.624046782356298,-0.815448029552353,1.12248776323249,-0.199488920463794,-1.61551407206689,-1.08550757068832,-0.759453796952241,-0.956125747405453,-0.900755768277216,-0.936696153719984,-1.20611385914722,1.21635900183563,2.66004193171123,-0.89880285507294,-0.863764983177901,-0.403810974549899,-0.71715094540268,0.4430625692709,0.330270181518144,-0.710239690321261,-0.875768501349109,0.655537378414699,0.336362681872185,-1.27803483727175,-0.551281331156289,-0.558394171805762,-1.19724374316581,-1.23779767461603,-1.33836657239218,-1.62658451865221,0.0355922156760565,-1.13204666477088,-0.782951394061236,-0.637498113050236,-1.70486434006911,-1.20938607429349,-0.5642635401709,-0.438526198567792
"37",2020-08-28,-1.60182528048034,-0.705439290820048,-0.768170839646886,-1.06739755039468,-1.24903232822264,-0.670879711662096,-0.187431649723367,-0.874159212162954,-0.0530292792012569,0.217396293830242,0.0287577516529042,-0.998061615331363,-0.710007493955286,-0.441503794864956,-1.30410137447005,-1.29345291728236,-1.0267332261031,-1.53249980674793,-0.263612506316167,0.0123401600130156,0.164457563223526,-1.21790838542251,-0.698873208616616,-0.58663106758864,-1.18973313721186,-1.51236020061479,-0.923367142440405,-1.23412221083638,-1.66353869918007,-1.00333460829269,-0.885990168524712,-0.210232278572137,-1.21043833668251,-0.499129724426485,-1.20919915073919,1.15362823721853,1.02579761567975,-2.39696590359428,-1.30986970903107,-1.1673190985937,-1.17225547166579,-0.159123577693019,-0.862244044806721,-1.2021268521654,-1.28349496539315,-0.541865776194594,-0.634800998290173,-1.28262664254121,-0.710678053747889,-0.318580313904223,-0.615666525565184,-1.76936301376569,-1.31393775925787,-1.68551589915259,-0.440236530675701,-0.413007133367321,-0.851453893824319,-0.660575848075967,-1.22492131069664,-1.21130301110182,-0.782257376821266,-0.79793218831665
"38",2020-09-04,-1.51547962695498,-1.31223227572644,-1.35356986982817,-1.27643193211897,-1.32451122261497,-1.97199148456408,-0.791535564931745,-0.875991728964305,-0.384065308566868,-0.109526867391588,-0.103563089183721,-0.809567340524723,-0.600032543453613,-0.610821051903775,-1.29548733701889,-0.826453408922767,-1.22098777812922,-1.18150789592487,-0.423831739525372,0.4200242284106,0.185904188880865,-1.18476335946796,-0.674666555215866,-1.01139975438406,-1.37629056250552,-1.51012309725827,-1.17218494048305,-1.25298107606897,-1.62712279208005,-0.635307774250053,-0.691682867111383,0.00154755564099049,-0.577698387790143,-0.817587193058811,-1.32790221560547,0.795797478701791,0.41741579195858,-2.43539180166623,-1.39174465395362,-1.38975985659474,-1.12074675607599,-0.995894512767328,-0.621332985661764,-1.34456429205388,-1.61047727240519,-0.661569042069753,-1.33385922099979,-1.38511931002315,-0.767109933898181,-0.931731372802387,-0.811365807355029,-1.40387645965273,-1.17033900608612,-1.70640913974722,-0.9472477150054,-0.801130900911652,-1.09097829505732,-1.10377910385897,-1.29950687225064,-1.30875726192651,-1.08913962666288,-1.10965069307849
"39",2020-09-11,-1.53412587879578,-1.36658689049755,-1.42265590360652,-1.42048930457544,-1.38077974356772,-1.83733317280067,-0.907293421322606,-0.562289856531711,-0.516317169337845,-0.505925179991649,-0.311109984799135,-1.44768055898807,-0.699139449605986,-0.0116719511070305,-1.32859594702963,-0.993385639741862,-1.28593872647141,-1.0760940041374,-0.251859649425825,0.0143078315950096,0.694213229563892,-0.431794200797788,0.514914056715016,-0.804924528934461,-1.44779446513667,-1.60031031734585,-1.27818010574858,-1.40581977094974,-1.60891921037155,-0.853566997769365,-0.327631708189677,-0.154678750202771,-0.156053186974185,-1.07173957291471,-1.36593187112654,-0.384419689647324,-0.216929409765756,-2.60842834474404,-1.73112556404883,-1.66647452054054,-1.20066656092852,-1.28542291219739,-1.01035230128396,-1.32251985759899,-1.62101383312653,-0.422557542996135,-1.38430639032743,-1.45543685595879,-0.78244945813764,-1.10159493549558,-0.394133216616281,-1.48550118941941,-1.37103747537077,-1.26933543557619,-0.944481063392049,-0.865215685401636,-1.13819314621404,-1.2044757586185,-1.37367759307586,-1.34811034266879,-1.11164715689698,-1.14653217094593
"40",2020-09-18,-1.52351042103084,-1.38519162205449,-1.40205609670503,-1.47098977279199,-1.45184073903124,-1.52834876490942,-0.94947889090479,-0.815266866269494,-0.949326725949325,-1.14437129700535,-0.665388822834231,-1.34674306269998,-0.922006369057383,-0.731472862356767,-1.42844938804682,-1.24267469715411,-1.23885014230972,-1.06993660666413,-0.359345394958058,-0.420298918361312,0.692922274429908,-0.721355001433684,0.961119903093469,-1.06324356389944,-1.49411677051364,-1.62144543380796,-1.3866528134817,-1.39053394370565,-1.65701734099019,-1.00349867141388,-0.776861002254379,-0.439938524569791,-0.393034122295671,-1.20151030460594,-1.20589411824645,-0.789348293062834,-0.758582945114738,-2.80824512366535,-1.74044623071532,-1.88015101150822,-1.31002675986421,-1.34665586943821,-0.980147873589946,-1.2319479701515,-1.57567421455044,0.103363854767644,-1.385559119885,-1.24086210568329,-1.05471477765698,-1.15908224451649,-0.448259811521242,-1.42112796209157,-1.17810462681568,-1.50281766815896,-1.03744057999662,-0.932723751665046,-1.02630658541055,-1.28803331983459,-1.41118548773628,-1.38324357637438,-1.21284456516843,-1.17990614304478
"41",2020-09-25,-1.54397997813461,-1.4172072345129,-1.33714694922005,-1.44550607448593,-1.49788424351199,-0.954942213758153,-1.14995521012808,-1.11733953296198,-0.993773507406678,-0.930565755891525,-0.805327038233054,-1.40390698938993,-1.02830720829478,-0.505455309400243,-1.4849702411009,-1.35309193419376,-1.13104788872193,-1.05662243967542,-0.608396985244151,-0.786379212071661,0.0952612589356322,-0.955038023903096,-0.517226143131067,-1.14235923927314,-1.53016693139028,-1.64830125671119,-1.36387083136332,-1.43310362811126,-1.70071928746544,-1.15285813312746,-0.721947866937874,-0.581935836481053,-0.68850683823278,-1.25349846190878,-1.03371494949453,-1.00857836844804,-1.02425235839593,-2.34945695910379,-1.84875249422711,-1.93564613993858,-1.38934152098906,-1.3649512509387,-0.932028420848721,-1.14503946530088,-1.6400770172599,-0.4463243421256,-1.06502791900545,-1.00530588163959,-1.23576585420402,-1.17350749786931,-0.792077817213726,-1.36355367714525,-1.06029448391112,-1.57604370319851,-1.11336418058765,-1.10222311386349,-0.907214057864203,-1.36353992894668,-1.41686985768932,-1.43163990558435,-1.34869883380125,-1.11012226031352
"42",2020-09-30,-1.42687892563324,-1.25308631743695,-0.971940515443622,-0.748818704779051,-1.2812611740366,-1.93331251202304,-1.02105723263873,-1.15413057079072,-1.25885495951704,-1.58261626813967,-1.12917878276127,-1.38779537148969,-1.22452981155038,-1.04728194772066,-1.473175428346,-0.630477700250639,-0.902865849891399,-1.58450922659241,-1.05877640474712,-1.07276049205595,-0.595305759616766,-1.05550058081839,-1.15547697611361,-1.139718726396,-1.38441864181008,-1.57428351539096,-1.27763804701989,-1.19991148307756,-1.66264830844134,-1.10780343367537,-0.825164967424616,-0.933717119261565,-1.08909105432311,-0.932791737505779,-0.361138150557133,-0.828552139011489,-1.04462295520399,-2.6850326683714,-1.95672153474963,-2.13606657114328,-1.45592594461202,-1.35523519169758,-1.23811799149752,-1.05678192842632,-1.4319793371096,-0.721180036047918,-0.727431250258265,-0.694396934026491,-1.24887050278062,-0.926657518829847,-0.988370045679822,-1.25833707248014,-0.532119194302208,-1.50822063136323,-0.916775963446456,-0.974831205616125,-0.563627286296343,-1.29355981323044,-1.28869517459351,-1.27236497037821,-1.19174882390514,-0.856965330782011
"43",2020-10-09,-0.937086584872323,-0.984961446344392,-0.726295885782697,-0.216081921646357,-0.64478302655986,-1.9531987126908,-0.391911158204949,-1.05306677625067,-1.11741264835426,-1.28926513187197,-1.16094190142308,-1.09965899559458,-1.05400829582227,-1.05847238883841,-1.25113477828127,0.0409754126602897,0.519267007542409,-1.55429346342022,-0.896847320009934,-0.948487561828082,-0.915311960304176,-0.926683997930007,-1.27867732037653,-0.850518358613398,-0.839880531757422,-1.29522614538407,-1.04371250198939,-1.16000279540451,-1.34248284064111,-0.968930273021907,-1.07340646856322,-0.935724872384104,-1.23069744144732,-0.665915174470891,0.504690955643063,-0.771271812351254,-0.708384206609289,-2.48021249953821,-2.0701665232993,-2.07506436697108,-1.48419398501833,-1.32006019012823,-0.911877026753548,-0.943101199256448,-0.980608789192557,-0.937929591553156,-0.315044691063623,-0.177887203102412,-0.52178474654411,-0.283699373473863,-1.02440985690132,-0.947077463184927,-0.394754193650349,-1.37741526609425,-0.579868991488847,-0.726496338280428,-0.126837555121327,-1.28941313044711,-0.459626222674594,-0.0860061450070015,-1.01827152333037,-0.410822206160986
"44",2020-10-16,-1.24662623584657,-1.33105756359534,-0.987524984341221,-0.512764092876689,-1.5229298655197,-1.84118087489622,-1.11189599742267,-1.2156005779015,-1.20371426645126,-1.58149315756574,-1.23309418468019,-1.66598721482715,-1.42062067128371,-0.952936234249703,-1.69027722141996,-0.893282973380584,-0.202550149570581,-1.46425737945528,-1.05935602519615,-1.07397442636676,-0.650431198995955,-1.18169947038777,-0.430567688862527,-1.24018360823682,-1.08615327394508,-1.55081385541349,-1.51282915943756,-1.55843638492987,-0.942492231362096,-1.27724966438578,-1.03071131728583,-0.835323864878606,-1.16344516686956,-1.02020327835715,-0.476704599056392,-0.560603391320718,-1.17386390753029,-2.67172967867459,-2.03217321859962,-2.16837418008113,-1.64085832030547,-1.54359270220267,-1.24640549787152,-1.01629370794618,-1.2889480261768,-0.871697863427161,-0.785410940603484,-0.698872302370002,-1.1214237389556,-0.879790260993922,-0.935710347579827,-1.15169915297815,-0.492399273916131,-1.51663793248027,-1.00257048464634,-1.12527580655301,-1.00966825375473,-1.47599855283122,-0.565982756013529,-0.460440372037668,-1.33644807601741,-0.786611207599696
"45",2020-10-23,-1.30746492611601,-1.23575991171623,-0.846721682054958,-0.554535949816364,-1.24178779897351,-2.01311269449063,-0.95124979679261,-1.22946211662194,-1.37618265880982,-1.64824964239091,-1.24312876643229,-1.47483027594574,-1.42937092414301,-0.76140711934639,-1.70488392759832,-0.747986108708921,-0.11080530773073,-1.73792495555134,-1.13501500204729,-1.2443084636894,-0.697763917367938,-1.33670161065324,-1.07403733133309,-1.21110443856668,-0.772858012874522,-1.38415740157306,-1.40490224211294,-1.30739791657891,-1.13529953660752,-1.11486215147601,-1.00041599498812,-1.03730667229613,-1.35466978828035,-0.714720395670974,-0.30838560091805,-0.585802696122583,-1.10285692969123,-2.71930286638785,-1.64795966839627,-1.98149857231502,-1.7059838315448,-1.47830153340152,-1.29267505420074,-0.934315749388297,-1.18486666746333,-1.18145465964463,-0.535107158848974,-0.222991761638479,-0.958684780004548,-0.60521407894878,-1.0954642488652,-0.973581512910718,-0.29021768517925,-1.38899442717225,-0.942130971185918,-1.07874896206746,-0.669955724016499,-1.34766129431518,0.262088432939452,-0.335424544077164,-0.913935184112902,-0.443846048294016
"46",2020-10-30,-1.2856690388325,-1.50574517443743,-1.05883230186863,-0.89740213979346,-1.4246450082725,-1.98683454523929,-1.0671214281636,-1.31702760313058,-1.05234679447443,-1.73124524216343,-1.32621506132606,-1.53238804976247,-1.48119001750001,-0.859793563647977,-1.7774517895389,-1.08325451897957,-0.409240649563382,-1.6666480187991,-1.18066898856024,-1.27121133631523,-0.877235686877556,-1.3472723831797,-0.89622804446633,-1.24910092965905,-0.855797403223406,-1.64381639396185,-1.39510124467332,-1.37537760671965,-1.16111515895916,-1.25960782911461,-1.26979343447595,-0.94856724318434,-1.14716259528527,-1.35918351631721,-0.33651377887009,-1.17507206215281,-1.00856383988614,-2.53841268444802,-1.95435924052703,-1.73187301359701,-1.75534374956264,-1.49320985620282,-1.35101282281677,-0.920933574518939,-1.11419677701758,-1.32736285854168,-0.738958559021471,-0.537749329095806,-1.15162153386123,-0.93747353531252,-1.14013801457028,-0.812915014834832,-0.432694721204157,-1.41086329870096,-0.881750079587018,-1.05285839787212,-0.638011774708814,-1.54396663133992,0.111710297403787,-0.619139193095843,-0.963457085112321,-0.258923282354394
"47",2020-11-06,-1.35699654963332,-1.71431943199717,-1.3340001709443,-1.34233477525122,-1.45862010735563,-2.04708520171601,-1.252381216466,-1.28135790947405,-0.978400759419475,-1.88676787868565,-1.23917777584306,-1.95229979332758,-1.51315899695656,-0.862413695860795,-1.78448303455401,-1.37091438556473,-0.399058883150982,-1.71647413493606,-1.23205354105701,-1.28784526338477,-0.681545231001686,-1.38987414662627,-0.348496073576257,-1.21062181202189,-0.999978740900959,-1.62676428180481,-1.13275131168553,-1.35381630587172,-1.48681028001197,-1.2018660008512,-1.62977259183781,-0.945914674827182,-1.19741050406934,-1.62392437676553,-0.568297778059968,-1.22097738497625,-1.10345109112054,-2.58130400274004,-1.97617636666594,-1.72169944681163,-1.82781843516701,-1.40407064921055,-1.37513183091364,-1.08306222371612,-0.946266797671961,-1.44803340885396,-1.00469261990605,-0.554445409027517,-1.35082611446185,-0.767837566693946,-1.15869107696823,-1.17825607947975,-0.255044543102737,-1.72097252980367,-0.808051637452244,-0.896062083505136,-0.711618600303675,-1.00741442203176,0.113405086163961,-0.841093239531418,-0.469178540596748,0.0527921605433968
"48",2020-11-13,-1.47353678624542,-1.84178971038534,-1.6930429522939,-1.50582519314818,-1.72593223041724,-2.10501778617689,-1.33228960413595,-1.17079258523069,-0.974590917388479,-1.90957296189744,-0.943435693011803,-2.04271848319198,-1.534297749511,-0.60111579227201,-1.66185025328028,-1.60773075762324,-0.849011714244301,-1.75091743598788,-1.2631413734952,-1.31413064299749,-0.762668412612712,-1.43665501363701,-0.412910998065656,-1.23401498180704,-1.00084896625272,-1.89719641436208,-1.51280150013832,-1.27079344730613,-1.30428821018767,-0.690498907933802,-1.6261132385688,-0.931292288303628,-1.15019339502007,-1.87458731128642,-0.835800895469477,-0.583842375733047,-1.14070228733412,-2.42988315451441,-2.20962826541375,-1.67402371648146,-1.87058847367669,-1.19593460556941,-1.40005710173263,-1.02420821736398,-0.948664478210786,-0.954640820294177,-1.33161727182273,-0.856197779042658,-1.3921661696001,-0.846385032363182,-1.14038241321468,-0.941382608375997,-0.443787789949347,-1.29136977061431,-0.647059885881343,-0.537947952698203,-0.843995787273819,-1.00028144931915,0.0133747310882579,-0.840381707494557,-0.26516741309336,-0.26120579522448
"49",2020-11-20,-1.3699976520893,-1.98208651539822,-1.90849553459278,-1.72806883260033,-1.92356341196482,-2.14716429887647,-1.42006879383719,-1.06095130259483,-1.11105221351612,-1.78810912999558,-0.598452112271919,-1.9863876138768,-1.5700251239805,-0.786824721441503,-1.6777258335712,-1.49602141137403,-0.954119276618835,-1.60133004714332,-0.788811650692458,-1.34572131993736,-0.759359508499603,-1.32229344963178,-0.651438523326806,-1.23351822184848,-1.06243645456616,-2.32050024364349,-1.33513191437435,-1.43230628196923,-1.35709079869471,-0.765491138789888,-1.35217626770567,-0.993461093377453,-1.07064928504399,-1.81373288367406,-0.998443178966691,-1.18775376477483,-1.07106019429892,-1.65576861363126,-2.40821909964605,-1.35140715045047,-1.92458651754899,-1.1280460324234,-1.41213866050523,-1.05838499075541,-0.869872185882621,-1.50161852350412,-1.06882487876609,-0.741835892102181,-1.12548517032884,-0.831317680360035,-0.74243324874031,-1.01778737410548,-0.415894500997984,-0.898790698875087,-0.426039909223097,-0.289341118494276,-0.677501141131216,-0.891480529807776,-0.0731966777569673,-0.629167020512162,-0.413484627502693,-0.0194860823494368
"50",2020-11-27,-1.98799785976072,-2.05781888867954,-1.97274632734318,-1.88122004162595,-1.95286609605179,-2.19089868933674,-1.53408244384061,-1.19132635680376,-1.11301052752853,-1.50715156699015,-0.840309709386458,-1.76570768115542,-1.58779898537425,-0.736540557351667,-1.71195697687489,-1.46890012558379,-0.870759104272595,-1.56518251787576,-1.08358581137801,-1.38098157135642,-0.744027887950862,-1.45634798750553,-0.679972866311174,-1.2167565685633,-1.10662746788308,-2.18385903184879,-1.23373412632108,-1.28253139620668,-1.39125191722597,-0.893260485477383,-1.39511108329987,-0.986089046466897,-0.764119389461832,-1.65607272077764,-1.04136800979218,-0.854789752534186,-0.812232311166444,-1.64736864861188,-2.28577345458448,-1.43474756422094,-1.96084933458927,-1.28536572524607,-1.48088599461359,-1.09471475113991,-1.13588106070779,-0.93898651985797,-1.29705584829096,-0.910146963019711,-1.10211277380437,-0.911400633289784,-1.3168224843033,-1.0751391723662,-0.642532283520319,-1.06833562028032,-0.666199707868662,-0.731359250025125,-0.823993997965667,-1.4191887805804,-0.434002269106769,-0.654861699399702,-0.710076626915637,-0.764744751103238
"51",2020-12-04,-2.08323995264255,-2.25958291387962,-2.06877344282504,-1.99551436727043,-1.98978628646356,-2.20556015893291,-1.6899631212538,-1.25588410309235,-1.31200560348458,-1.53373089920926,-0.774193831422551,-1.68862344443244,-1.56391270028076,-1.12104932616883,-1.81488246349673,-1.47219179170737,-1.03178370646378,-1.50535076040673,-1.02733054728908,-1.40079371046489,-0.763731482166912,-1.48056154635183,-1.04375012514519,-1.36801995172643,-1.14925119543241,-2.22910915717102,-1.13836684673508,-1.37626348012484,-1.52349208450411,-0.888272441150786,-1.40465561471278,-1.12819138378268,-1.17773887501178,-1.51192938797041,-1.11254951137987,-0.898042424707814,-1.01420801604197,-1.58568823413546,-2.35270724518023,-1.66364325102793,-0.909987440046585,-1.50923454843872,-1.49417796479148,-1.15998484848184,-1.33325250990672,-0.954761327931333,-1.33698060978469,-0.994824981961664,-1.19564421986193,-0.842843162751492,-1.3578211191591,-1.12411733895678,-0.593739309576272,-1.06207952489859,-0.667532071864641,-0.731810573250119,-0.861038343147716,-1.03065418552328,-0.623263290871424,-0.596249304710681,-0.846446657583438,-0.764034128772468
"52",2020-12-11,-1.97887500535814,-2.32530123522301,-2.07505947440702,-2.11979838216446,-1.944582786597,-2.07389952547111,-1.76737503803487,-1.27934034265986,-1.45703395489367,-1.39914122743854,-0.616132495820844,-1.66979859040022,-1.55362618036743,-1.23595492588397,-1.84426849135382,-1.549465202408,-1.00640335088655,-1.61606170816886,-1.04038569993747,-1.40022793234464,-1.25604188278751,-1.4311515600376,-0.980192789295381,-1.37076493541459,-1.20259578575906,-2.12925079605583,-1.11592955338626,-1.37417976590023,-1.63138664696473,-0.852651927442187,-1.84094514578597,-1.26819585379229,-1.2284552423435,-1.48392992627363,-1.05809887413329,-1.08567980008547,-1.12663244333117,-1.63734362256146,-2.10437500843832,-1.64437960134047,-1.30022436477809,-1.39182019870629,-1.5440618216691,-1.11139984052586,-1.18583296371153,-0.929384762568561,-1.40118662567324,-1.00490073985267,-1.24143963926061,-0.947749873654643,-1.42115845669106,-1.0774847599647,-0.685463635801604,-1.04148003774439,-0.682021766101259,-0.701846200683844,-0.892145955460101,-1.30351579439798,-0.537359183083901,-0.544053781118679,-0.672445926983668,-0.713969706798433
"53",2020-12-18,-1.97366944441891,-2.37540732330107,-2.43806983745848,-2.19518809461769,-1.95991792287889,-1.97562651924383,-1.84167576872189,-1.14853052230503,-1.60994890049335,-1.35035331823948,-0.548335555973734,-1.79282753970164,-1.63405352672805,-1.19543300801551,-1.85680327518741,-1.58761584768959,-1.00506775945388,-1.30839383135178,-1.05806387540899,-1.40618733169705,-1.33365189390634,-1.43982893187365,-0.794902571585526,-1.16871766111566,-1.25640324311376,-2.14052698069141,-1.26733010978495,-1.36923492578108,-1.5742696021751,-0.916455611058208,-1.89128489876374,-1.33705325473602,-1.72909606244183,-1.53459086005694,-1.17374906811592,-1.16030052400504,-1.22152231127234,-1.76458232217226,-2.15140628858461,-1.70944035951617,-1.41815938602762,-1.07620286531047,-1.21228428334931,-1.11070213104414,-1.30759696755972,-0.978000096802495,-1.42916290403983,-0.992111113338068,-1.26465272966976,-0.931428228374941,-1.4647820892683,-1.13490125779892,-0.642595571447526,-0.95418714020822,-0.67925557631466,-0.616755892578636,-0.873319778987042,-1.32593066504942,-0.646435284574681,-0.556836264143123,-0.746508574671683,-0.718489407306861
"54",2020-12-25,-1.88411166615298,-1.67153736597513,-2.24364121528283,-2.06499330334431,-1.96477773097356,-1.99002486950274,-1.76047769494507,-1.30890347916518,-1.6646686905521,-1.3221614405188,-0.622392723737739,-1.84374361016127,-1.72610687341692,-1.20401390926888,-1.90072230265341,-1.61909217037995,-1.01922466462211,-1.2266072375223,-1.18965399971806,-1.45850468140363,-1.41195330558403,-1.65254543520958,-0.21251037340158,0.0263697900472135,-1.28516751196811,-2.23300169893091,-1.34293127646022,-1.41289410668374,-1.71541924559478,-0.943618871551611,-2.12200217446709,-1.2579392785696,-1.68849110420995,-1.60503569554693,-1.15645775849884,-1.21792818341435,-1.21980807520188,-1.95601525156261,-1.85200981932152,-1.88951494314276,-1.46511901179745,-0.392618102076352,-1.18093719527495,-1.14618415975536,-1.2840569454217,-0.941622929429035,-1.46799477816305,-1.0372220512586,-1.32583751903838,-1.04258814691127,-1.54848819941133,-1.14628621829231,-0.677945382962293,-0.876847825561233,-0.695818097221988,-0.661070994975487,-0.996792429326456,-1.34121785610171,-0.648351474405621,-0.537076742827448,-0.792006548375148,-0.734861198517816
"55",2020-12-31,-1.89535846127416,-1.81272389930261,-2.41881589934747,-2.3370945683201,-1.76283933548571,-2.11532903876636,-1.94907253705318,-1.35428198481507,-1.71480532981695,-1.34693620441175,-0.418850413792366,-1.85796477491661,-1.77813765456785,-1.28050886824274,-1.80211512324819,-1.71650749838472,-0.95247537197817,-0.806144035700148,-1.1333225872909,-1.47685119498842,-0.940049805479147,-1.62074616235205,-0.221501186218139,-0.20581900574316,-1.23988903624875,-1.79423347870635,-1.33525017680631,-1.32050342198143,-1.1743012550459,-0.984312003612109,-1.92122694069141,-0.767995917506278,-1.88587070697613,-1.5723346595773,-1.16152328256364,-1.27610904064955,-1.14256714630297,-1.94461501259628,-1.4469365811951,-1.81342857921398,-1.48310945204191,-1.03677402625331,-0.585189823493881,-1.22717123079611,-1.24649507202771,-0.839088833130778,-1.53964437078863,-0.96101586311132,-1.36557408426465,-0.985773244967333,-1.50907404990845,-1.16924098852235,-0.606649694868142,-0.76451178807656,-0.65846251582017,-0.577285850975257,-0.91855843323043,-1.52124876235916,-0.577486873168308,-0.298635287935635,-0.819707710437999,-0.644170914746976
"56",2021-01-08,-1.87451826984325,-0.307311474583888,-0.982643448139418,-0.936439875563176,-1.59499702615265,-2.17702260910406,-1.67580454937201,-1.43105626939603,-1.30791747905904,-1.58209814090719,-0.64193861258519,-1.92485639732924,-1.63286316083122,-1.22988508049323,-1.93566944255244,-1.70973605074301,-1.08633567751464,-0.985166809640642,-1.43655734723061,-1.54617383587684,-1.34853358446401,-1.84508233801462,0.400147028748998,0.593273273468414,-1.38037603507667,0.77748812576237,-1.53174741772588,-1.63863617859803,-0.275250590404795,-1.15794229945232,-1.77683511172064,-1.23138994352088,-1.88159614574924,-1.93940253848286,-1.32847704450596,-0.672225872647404,-1.44051383922131,-1.4895638754314,-0.458499514852495,-1.87041292129548,-1.41154138864475,-1.51918564297992,-1.02670907984893,-1.20558567926507,-1.33559477608219,-0.941260686412187,-1.52963066721776,-1.18582528605229,-1.39934113680467,-1.23328846202272,-1.73646841795826,-1.15905122218894,-0.69877607165706,-0.914961496096254,-0.893475933834395,-0.84514925416335,-1.15208802831852,-1.37612653377212,-0.715563038501784,-0.755251619670617,-1.01911110705283,-0.867282281264936
