"","date","CI005187.WI","CI005188.WI","CI005189.WI","CI005190.WI","CI005191.WI","CI005192.WI","CI005193.WI","CI005194.WI","CI005195.WI","CI005196.WI","CI005197.WI","CI005198.WI","CI005199.WI","CI005800.WI","CI005801.WI","CI005802.WI","CI005803.WI","CI005804.WI","CI005805.WI","CI005806.WI","CI005807.WI","CI005808.WI","CI005809.WI","CI005810.WI","CI005811.WI","CI005812.WI","CI005813.WI","CI005814.WI","CI005815.WI","CI005816.WI","CI005817.WI","CI005818.WI","CI005819.WI","CI005820.WI","CI005821.WI","CI005822.WI","CI005823.WI","CI005824.WI","CI005825.WI","CI005826.WI","CI005827.WI","CI005828.WI","CI005829.WI","CI005830.WI","CI005831.WI","CI005832.WI","CI005834.WI","CI005835.WI","CI005836.WI","CI005837.WI","CI005838.WI","CI005839.WI","CI005840.WI","CI005841.WI","CI005842.WI","CI005843.WI","CI005844.WI","CI005845.WI","CI005846.WI","CI005847.WI","CI005848.WI","CI005849.WI"
"24",2020-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-06-05,-1.14683447034636,-1.76701514491147,-0.97642276839262,-1.83645781233354,-2.2792324654693,-1.5925314862058,-2.93553281034534,-2.34468027140452,-1.43293008972853,-1.15887503043028,-1.42366573838197,-1.71173548395089,-2.29002310015643,-1.21510849029326,-1.19522749828773,-2.42244100823533,-1.48547568273632,-2.23271382797256,-1.8802517806338,-2.33270354976962,-0.899574933018461,-1.60709950692653,-2.46107892830767,-1.57995647183404,-0.480291677943209,-1.26321506022006,-1.49686682123982,-1.53621721795797,-1.85865264650982,-1.2659007948968,-2.26589636074104,-2.33556902996512,-4.20093896974007,-1.44027604063572,-2.02881034906127,-0.943316331443908,-1.01144508888378,-1.27064403226533,-1.26286314038402,-0.954005657405086,-1.15830656526774,-0.776010570962998,-3.03384670365173,-0.639709381856475,-1.74145865019389,-1.52780305397962,-2.37285917130746,-1.78472990470108,-1.45706084033202,-1.82035173858776,-1.25071548939173,-1.37545740597809,-2.03367433679245,-1.61275473956781,-1.7573869965468,-1.45062080449097,-2.49389678835144,-1.65120477497602,-2.15611755090283,-0.831542112212694,-0.876044792786325,-1.37582535767228
"26",2020-06-12,-1.24995268802428,-1.23792669163659,-1.16479836642265,-2.0368040830484,-1.73592741569177,-1.43777094803881,-2.52242174417344,-2.23526756108216,-1.54917934732339,-0.905378387987954,-1.41941763791666,-1.54668439282895,-2.15281821960957,-1.21473111893412,-1.21723197400085,-2.90808653941244,-1.56344036477655,-2.33891320048931,-1.79161852355679,-1.64266385317682,-0.810880132227824,-1.63831543466963,-2.02093447576876,-1.44109854727161,-1.03847342706758,-1.15532097159703,-1.27649110736218,-1.49428166853868,-1.21787220897322,-1.21472634204581,-2.33868982494819,-1.44565560480126,-1.69935918953897,-1.39390207811131,-1.16942948500946,-0.452688556344014,-1.31056327518783,-0.952314823050563,-1.6496333942975,-1.37809678201968,-0.94414951582497,-0.838673103094868,-0.885378528566289,-0.785935067589101,-1.6494718615644,-1.39922514167333,-2.22328731595438,-1.64740552461901,-1.27806977944499,-1.46448623857901,-0.955297071111966,-1.40033969453114,-1.40354500679963,-1.5267551955324,-1.32078061277273,-1.1721909335343,-2.27485022916035,-1.47703213560177,-2.02195178746841,-0.851879978219077,-1.320234633634,-1.49278945947089
"27",2020-06-19,-0.78715729828245,-1.52667142050161,-1.18051419624687,-2.12245600775501,-1.78249931803968,-1.45172073423719,-2.38835496767294,-2.13552479358384,-1.17950271175291,-1.07720131793344,-1.41439825061274,-1.3980759380003,-2.26540521364995,-1.18099642063356,-1.37413462001307,-3.04012596291108,-1.44100986921486,-2.9164069292733,-1.7855686250726,-1.60206251715813,-0.993552749684973,-1.53909481349552,-1.52407400712438,-1.29189973683429,-0.730149606228999,-1.37910193210156,-1.12416960462416,-1.3172104476289,-1.7880571549694,-1.4963502129058,-2.50440189076226,-1.45326963077048,-1.6272958776602,-1.4430701056613,-1.35808495132319,-0.645593061823441,-1.10327249171827,-0.839818903355971,-1.6392048266748,-1.36336894314462,-0.950593158929152,-0.878625883188901,-1.22927807655274,-0.764400012538384,-1.43463675437528,-1.39118385591207,-1.68888006288517,-1.62452536294769,-1.38948180403542,-1.68167491192379,-1.09890876738025,-1.56742650908496,-1.4553220678079,-1.52902121820569,-1.4775226944338,-1.37314191054688,-2.01089008353242,-1.61556114237687,-2.30175074173753,-0.370000802073133,-1.36384115450749,-1.748502292198
"28",2020-06-24,-0.0148903282809098,-1.32007517008762,-0.889597487509896,-2.23984540852086,-1.32746700087927,-0.946302431355883,-1.81543726027862,-1.17466784738843,-0.943153361513502,-0.58173191134363,-1.33930973573311,-0.755971560825048,-2.19113083334661,-0.751541329367985,-1.04338500948647,-2.82724418524546,-1.22714427307053,-2.40096278768497,-1.09946293810762,-0.983051390094161,-0.782220780843607,-0.704215490435408,-1.31443286907337,-0.986660728459405,-1.21870541769233,-0.736120433059509,-1.35025809373678,-1.18858540051852,-1.53863482036917,-1.01156622456444,-2.29193169787479,-1.45459539006246,-0.939157012593444,-1.21684394081093,-0.726493608355117,-1.08792024130497,-1.79528835162511,-0.340800629168114,-1.80188778003093,-1.21669454022202,-0.69836823247904,-0.878227622756165,-1.60227640068798,-0.776733646989294,-1.60301809093198,-1.48892726169541,-1.64797180681421,-1.35951339191054,-1.06336618252527,-1.41940299225747,-0.771605242596748,-1.36358158186331,-0.894088897919252,-0.932522464583978,-1.14325337242431,-0.920235851013785,-1.50133404366194,-1.37424865429196,-2.1660436399639,-1.45670608113408,-1.33557560075448,-1.39008721720719
"29",2020-07-03,-0.397796168203976,-1.51917050632999,-1.12900003179681,-2.25829958448553,-1.56023443759629,-1.5662651470246,-2.18719316931177,-1.12984273803326,-1.30927484046798,-0.943027569247377,-1.3841989446695,-1.17604314761374,-1.70391158211109,-1.1864653280171,-1.4281881961612,-1.78403128269629,-1.52281895368129,-2.25469487512892,-1.53041957425637,-1.54561827476389,-0.976847772215085,-1.19899144896028,-1.81537997306013,-1.52648145161477,-0.880038598117397,-1.12022084158716,-0.947747882075658,-1.22993252576054,-1.67034195184397,-1.32444995728598,-2.24769593748777,-1.7179908783897,-1.51886574536247,-1.33222583678174,-0.951040997469893,-1.20654653885733,-1.53234118915972,-0.342091968273564,-1.93412310557324,-1.33202900947277,-1.29766226035637,-1.12316982411137,-0.457535856118839,-1.14750751121002,-1.15507868769327,-1.13783168648997,-1.83692780421031,-1.63566117124638,-1.56159202646911,-1.81704657450775,-1.28952607929779,-1.57919503588165,-1.1976573551267,-0.664680205755677,-1.69574553384817,-1.60533441866824,-1.73847096741687,-1.77028688396158,-1.79302669063719,-1.04502121800345,-1.44016631728304,-1.67698349198559
"30",2020-07-10,-1.43882083093958,-0.917652449125812,-0.490301536229599,-1.400061441203,-1.57764955859,-1.20102976371943,-1.43005791593431,-1.45095472590106,-1.35109363130883,-1.03487082896366,-1.08751408068348,-1.29566843768322,-0.797332351464807,-1.03993371862274,-0.389068379836887,-1.20176791789164,-1.7790948400317,-1.79483974943834,-1.20998252593065,-1.13057647345463,-0.888621182496879,-1.17222766792324,-0.461166326251284,-1.20437285059544,1.65093506480963,-1.23390449241247,0.91007653340727,-0.0620920084921193,-0.903866931933344,-1.47454160106556,-2.20707016737684,-1.05519985374172,-1.21361932630846,-1.1751829258704,-1.204004914639,-0.759402072369967,-0.671295269657706,-1.29250918280379,-1.13716292933434,-1.35050462834873,-0.54605839269063,0.228743180122587,0.493929183142109,-0.924756572515513,-0.920106539425417,1.32994529773235,-0.489306872080086,-1.17200932773567,-1.50725837409551,-1.2612816802761,-0.66841609217612,-1.59730832476018,-1.52897786224183,-1.24858301505989,-0.948171937939314,-1.0595917792979,-1.18333092114988,-0.395077543814556,-1.68138270220648,0.30753730834921,-0.932320307457097,-1.66001941993953
"31",2020-07-17,-1.41355660193363,-0.803987192946774,-0.901703976027623,0.0609538942928373,-1.66092250370891,-1.22832242111958,-1.2548797675748,-1.53226439438146,-1.14541103600116,-0.789471005515207,-1.01629344664465,-0.759716419521894,0.110179710254522,-1.12592777718919,-1.18975228401393,-1.19668862984277,-1.22779069278044,-1.79255397908108,-1.13549548755283,-1.20083732371623,-0.981165704676293,-1.28404289695035,-0.171353071891065,-0.0810381039442455,3.03535296590055,-1.28991129871053,0.493519642496437,-0.172652552234753,-1.09027642117999,-0.16704949548446,-1.53719165484942,-1.4870820877698,-1.62441721988578,-0.847274292568741,-1.19882843459376,-0.890359252246678,0.113389424452031,-1.59980180664875,0.497177683524638,-1.26734334942913,-1.40039655579567,-0.634903395528028,0.947386493814852,-0.73797263335692,-1.35952384794971,-0.27680372585219,-0.338868178965164,-1.72446260906101,-1.56570562228655,-0.271105648800586,-1.18908537322467,-1.2931564743597,-1.57560631916141,-1.35802578400076,-1.39041475258999,-1.59420733023917,-0.688813188380233,-0.856964192344933,-1.08784093245353,0.498565663117073,-0.0615222757826243,-0.729281101022995
"32",2020-07-24,-1.1047106837852,-0.695535191591948,-0.124549857977718,-0.865449336834522,-1.63549174708444,-0.790804124493486,-1.18747981790537,-1.57154432369549,-0.188385192383967,-0.614880322633687,-0.972088501042112,-0.684397387439512,0.458462721279271,0.0740924349761369,-0.535197097890027,-1.50723381816161,-1.44531052809735,-2.37189890243823,-0.860980870260726,-0.956578248813741,-1.08821933695887,-1.34499237610183,-0.0240790101146408,-0.115607958011162,0.958062193650121,-1.02478554300567,0.818274290820904,-0.455247694175226,0.121437421339598,0.177529323413709,-1.35804148172837,-1.67643041908024,-1.32910483599995,-1.2250096009952,-1.22501155078498,-0.550514956404088,0.533402365531621,-1.39731219854666,-0.402080565962926,-1.4580761569157,-0.899714330829835,-0.97738903629462,2.10160718436312,-0.726251342965978,-0.191077087446574,0.114586059082477,-1.14777265845625,-1.49982719163934,-0.939252724566064,-0.966050345202225,-1.12471610025828,-1.90895207648199,-1.57686302173851,-1.19453022994261,-1.1101437906909,-1.14757204519273,-1.11632581026413,-0.45199069136929,-1.18048211914684,-0.544953239145042,-1.23304702923544,-0.619173270386495
"33",2020-07-31,-1.33154759125369,-0.150648904432973,-1.02363240149023,-0.761182775371451,-1.0041689033927,-0.045628160060555,-0.640680783680485,-1.66608757028128,-1.22349662941682,-0.699459351397289,-0.92763358611702,-1.24033311103296,-0.0592621485881458,-0.258342312088962,-0.708192943393015,-1.02322203325933,-0.876441443128432,-2.44189553785336,-0.961915229799273,-0.885465919757355,-0.377323605677696,-1.29137581829995,-0.695717588852642,-0.256998160986413,1.25723734707276,-1.24096590949243,0.874119398972652,0.0244488799618881,-0.346702675804633,-1.08424957008764,-1.17281953241392,-1.29167788597342,-1.79245903781967,-0.719407388331157,-1.21757756850671,-0.314485796605103,1.34100694691659,-1.55082038776758,-0.0681554800119581,-1.52504106941472,-1.12246191888856,-0.206369736554248,0.770191810930839,-1.03902366588224,-1.30913963805603,0.12341240175427,-0.540525117556715,-1.05168229412717,-0.554865543315108,-0.21825503973731,-1.45279590671229,-1.63697283620702,-1.45154530122488,-0.978778325067705,-1.29192227804221,-1.32574288240158,-1.44571551575089,-0.888386913288641,-0.848168154480564,-0.574548341190293,-1.32794395854914,-0.855559592922954
