"","date","CI005187.WI","CI005188.WI","CI005189.WI","CI005190.WI","CI005191.WI","CI005192.WI","CI005193.WI","CI005194.WI","CI005195.WI","CI005196.WI","CI005197.WI","CI005198.WI","CI005199.WI","CI005800.WI","CI005801.WI","CI005802.WI","CI005803.WI","CI005804.WI","CI005805.WI","CI005806.WI","CI005807.WI","CI005808.WI","CI005809.WI","CI005810.WI","CI005811.WI","CI005812.WI","CI005813.WI","CI005814.WI","CI005815.WI","CI005816.WI","CI005817.WI","CI005818.WI","CI005819.WI","CI005820.WI","CI005821.WI","CI005822.WI","CI005823.WI","CI005824.WI","CI005825.WI","CI005826.WI","CI005827.WI","CI005828.WI","CI005829.WI","CI005830.WI","CI005831.WI","CI005832.WI","CI005834.WI","CI005835.WI","CI005836.WI","CI005837.WI","CI005838.WI","CI005839.WI","CI005840.WI","CI005841.WI","CI005842.WI","CI005843.WI","CI005844.WI","CI005845.WI","CI005846.WI","CI005847.WI","CI005848.WI","CI005849.WI"
"11",2020-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-06-05,-2.10234862269095,-1.51186936273775,-4.86346198376646,0.451186183854648,-1.52448008039362,-0.770784069648935,-1.40219832872348,-1.41714888371277,-0.898437406775664,-5.57256271521062,-0.353174604472896,-0.76910707812513,2.00302552161216,-1.60908399989193,-1.27486264263446,-1.28988453332414,-1.60861702049812,-1.95821339570997,-1.5251510030072,-1.04322906005627,-1.49835416790329,-1.11031108777195,-1.49797739750011,-3.27774275007874,1.26493762088376,-1.18452229333293,-2.91245450321502,-0.661028107850105,-0.91948878923108,-1.32174619659098,-1.1226512060204,0.420542740237246,-1.04508007266813,-1.66882306984915,-0.267750055834935,-2.0204908088321,0.50255922125017,-0.548617920118708,-1.47065924716651,-0.399410257005173,-1.85970682424617,-3.13905410941826,0.718910342599589,-1.58958344269197,-0.797789164408966,-0.699727297540732,-3.23629043881478,-2.075601215994,-1.47526960656191,-2.11815415540106,-0.973520511580224,-0.406647560465086,-2.3240163903587,-1.38659167805546,-2.29756397257469,-1.96440019520973,-1.91538432570984,-2.06749081939477,-1.98181443119701,-1.24330270158993,-1.83053932430916,-3.28308596777907
"26",2020-06-12,-1.47093941062276,-1.48753353932928,-1.90705466181415,0.298063778668779,-1.44365428100042,-0.842288751666509,-1.40009875342765,-1.39123342474561,-0.911943420893746,-2.7564912744184,-0.596023683579535,-1.13544957748855,1.31629918395904,-1.03655872329621,-1.37201318460895,-0.877354639750297,-1.71600635024456,-1.86632298480843,-1.60628297447268,-0.707376176403843,-1.41596339377863,-1.19307907667756,-1.55665844426847,-1.816273629413,1.57517870162263,-1.01791885613945,-0.834188793099983,-0.376663366241799,-0.321362213083918,-0.321313072074259,-1.10359219734399,0.0548260084609261,-0.827969565752775,-1.30225190897086,-0.815861239036252,-1.49467532517706,0.35456195382418,-0.886245902916317,-1.15339504290581,-0.966907907758035,-1.37615310510952,-1.84060416836493,0.682957618222184,-1.37847909599174,-0.610213622988916,-0.719972712132607,-3.43923044168034,-2.16906164396455,-1.52480361702044,-2.1786329036714,-0.988128131513672,0.0497963802234779,-1.09849300308326,-1.33187996625425,-1.78611997257861,-1.95779846737497,-0.62480096026328,-2.16295026490889,-1.9570775017122,-1.02145295086292,-1.85536537290845,-2.78977326792303
"27",2020-06-19,-1.57903974962141,-1.60483193927128,-1.36457312903524,0.607043541855185,-1.533189899261,-0.969338241641263,-1.12914301312715,-1.28232863492535,-0.999875771645197,-1.0393954615004,-0.737334427679374,-1.40986381053555,0.784027048344012,-1.02540517186843,-1.46083457192611,-0.92772871912871,-1.71693839252264,-2.11475966600384,-1.63624606028665,-0.586805634330162,-1.39511867682394,-1.22741261170201,-1.60565190813317,-1.19141895932706,2.06079547317412,-0.959798015891569,-0.113689997035623,-0.201464539716058,-0.382262260499419,0.159846233040932,-1.06492761116338,0.763552485470716,-0.587200022129165,-1.54732515594299,-0.888152967884034,-1.03605331379334,0.464355310814251,-1.05036429103538,-1.22118454894974,-0.984667712839839,-1.41245075988778,-1.5914891560832,0.461748262395012,-1.25097227990432,-0.640642185691124,-0.460241931641798,-3.08080223017967,-2.02917407308339,-1.61276622404224,-1.89949955367764,-1.13928986682191,0.0901164453332448,-1.45307020268444,-1.54271545548217,-1.6912767147746,-1.95379497963591,0.420828911818547,-1.93770114785735,-1.85337654349331,-1.05562351058846,-1.73871963099361,-1.49920879272009
"28",2020-06-24,-1.66053837676221,-1.67790416355634,-1.13111044040163,0.318275319952624,-1.61938065831366,-1.03266851105487,-0.867133433749,-1.36361629075452,-1.08100835806705,-0.508184599718712,-0.833996344236621,-1.63969410106111,0.607521925333973,-1.0812492021432,-1.53575945121834,-0.884751921554485,-1.70871602047205,-1.36620681769712,-1.63239126544555,-0.359610660602104,-1.35602833986431,-1.28264911357818,-1.50575649513846,-0.98636574902919,1.56417908798883,-0.963412654850793,-0.329936874339975,-0.320640253857828,-0.944768267679486,0.279720322183249,-1.10003883342135,1.06195888179475,-0.54636929154875,-1.55722493996242,-0.921553427473133,-0.618811528239078,0.490240096660361,-1.1414156238782,-1.27786704750407,-1.23382879380662,-1.46980486173639,-1.56956496036328,0.522251328348447,-0.814623060780936,-0.792418825918811,-0.0374502501936004,-1.58880119352291,-1.18975549588487,-1.68702149629416,-1.69756885893183,-1.22518990275504,-0.211070386527793,-1.01483104251058,-1.14944799956135,-1.74502017010975,-1.38819386807783,1.60398345725815,-0.357315036596143,-2.08567302472132,-1.07369391673316,-1.5023929726995,-1.17835608773189
"29",2020-07-03,-1.66977327568304,-1.62962002940549,-0.585977200305567,0.0806320794618319,-1.62497085984309,-1.21983108083372,-0.146075691719307,-1.01902271459396,-1.20295023698952,1.22722225430769,-0.528081188283078,-1.25377165311546,1.1575066840221,-0.832244908996381,-1.33660688564919,-0.429901418647095,-1.12291934980241,-0.981341205202232,-1.09422014602076,0.445038617247029,-0.47077169373035,-1.19381962428046,-0.324865463673775,-0.461312800893983,2.06343165582582,-0.750768161013031,0.0201640156060388,0.118654921981593,-0.138376064063513,0.404581607087778,-0.191357722729526,1.59785531636191,-0.317452519175506,-1.23961520978704,-0.965277323154354,-0.0162336236433956,0.732310207543241,-1.12852021714661,-1.25980341795656,-1.15773798827664,-1.01856696361248,-0.650344823127964,0.592809302016362,0.102846095962176,-0.78293257333348,-0.705733701130551,-0.728665149073594,-0.860891115170138,-1.71001108663339,-1.05353693205879,-1.34121001530414,-0.822975702227573,-1.02929082258787,-1.29416968595016,-1.48431009216979,-1.07943782758271,1.8523412303165,1.08751888528529,-1.64237457740116,-0.964268137018453,-1.11251676225242,-1.16421777026377
"30",2020-07-10,-1.22898648187416,-0.426825651737423,0.250466540353167,0.46223897017587,-1.36045085514643,-1.1133748499435,0.729177883791408,2.42790387812114,-0.950581984283747,2.38144546375684,-0.261911582949383,-0.453811018103049,1.72291941336643,0.162602039336682,-0.328186445810611,-0.273732016343885,-0.546262896674923,0.145577537969461,-0.242798586631678,1.28995037462405,0.668844771082815,0.893592273013756,0.313780114167841,0.78425531054485,2.65811902466496,-0.411105900272468,1.68333522167796,1.75358101255118,0.825141750505016,1.63392321645217,0.511809270839391,1.52784133974992,0.635057223394218,-1.16125429446079,-0.990572866553055,1.10037585832205,1.43450633741162,-0.910131712982924,-0.589984856128424,-0.697404993474471,-0.513325452581107,0.335273245727525,1.26862336909728,0.597610370802711,-0.485147204148632,-1.36861462047967,0.877017105575214,-0.123174673495129,-1.18129919716496,-0.287779481284748,-1.04444244674579,-1.15878410729115,-1.32817176312967,-1.58471626493501,-0.513363908177491,-0.29563489621564,3.03044440572754,2.02255774744851,-1.064937149582,-0.248896553726391,-0.186715029436505,-0.415723945525376
"31",2020-07-17,-1.71678993461735,-0.763815561203889,-0.474952266331001,0.079407451995962,-0.987339359439203,-0.818446935112391,0.141324918137673,1.69441863341259,-0.421494496262468,1.79856685926151,-0.457730613314386,0.0922512768946643,1.9607200224309,-0.0379771838816382,-1.05694771427064,-0.382414399186965,-0.167413843667233,-0.773161690246088,-0.854827130819912,0.831593994818635,0.0447402465725791,0.0360504012481627,-0.691420893620664,0.308717449832869,2.40714966464651,-0.701372130597995,0.826735081836655,1.3076802734955,0.0664632619612519,1.97389461002242,0.62241601214299,2.17638784694893,-0.138993272623779,-0.795702905650293,-1.08146485858879,1.39864896608932,1.7732644875645,-0.884890195402605,-0.711852905970117,-0.546232864108552,-0.890209151474277,-0.439627584623224,1.80456163299305,-0.601189299251501,-0.957425023011955,-1.39884656442894,-0.0481367362178608,-0.630730913132901,-1.51420380448668,-0.661525995229894,-1.55920879247779,-1.16653136633072,-1.67389949861054,-1.4084418113296,-1.41635903585439,-1.0419895344115,2.06255905652115,0.420289650196955,-1.92935053042518,-1.21822530231383,-0.571136512231966,-0.417396626539154
"32",2020-07-24,-0.734348432685453,-0.563385407314689,-0.872547756517473,-0.136292438975619,-0.319693833256134,-0.134540300373853,-0.153652910600658,1.55022941392747,-0.797284790118289,1.4214714858175,-0.548070320579557,0.163022600050016,1.85757808507269,0.396164186961773,-0.649773920743999,-0.55928238311403,-0.397032059152153,-1.09078409364857,-0.716395040529684,0.904177372481737,-0.178692117405858,0.849502987863633,0.431481508983857,-0.22682831516219,2.18336450871816,-0.986821425148119,0.342244260783553,0.367429086028917,-0.312386614061296,1.27659074172453,1.0893082883399,1.95336711456057,-0.552247672910905,-0.611520785079626,-1.12504266650903,0.876025568209372,1.84524047122287,-0.53809293575305,-0.410711443409086,-0.395895590496641,-0.548680512557362,-0.45360327540798,2.17187613793165,-1.02931486843331,-1.1730330503613,-1.3607759119038,-0.749903149604672,-0.696895215725989,-1.13160424645599,-0.833676754842229,-1.5771988340693,-1.21251995956611,-1.74014260956145,-1.2606379539188,-1.5435912267742,-1.0076840751155,0.305178046641595,0.156669093432575,-2.394393264099,-1.37577530086627,-1.43774651020113,-0.977811649674982
"33",2020-07-31,-0.443079219515025,-0.457398887496922,-0.779193965758189,-0.0625374695182901,1.1459138698562,1.34153521793376,0.285989683912966,2.01266680643539,0.354527784695598,1.74984076822593,-0.112696245213444,1.44776500992382,2.16514669571271,2.8240810760272,-0.0808530914037083,-0.218669003800038,1.31435372147405,-0.561409790459782,-0.334244036259987,1.43298798763772,-0.0950470854817382,1.88150715912302,1.28907404346292,0.257444829046379,0.144175886769925,-0.876779029420541,0.53477306079068,-0.133525719853654,0.501817087402422,0.957561382069831,1.8886846864821,2.11737764316015,-0.290298554242587,0.00250017397005443,-1.08076668686148,1.69719026214864,1.94639457835866,-0.278891532801016,-0.545682549660389,-0.304480524947217,-0.840862996217448,-0.35283311219031,1.77834948058592,-0.999249268343799,-0.979332195677979,-1.24609571600217,-0.3270288538747,-0.308301636303266,-0.668989322349699,-0.257019227866852,-1.16895506371257,-1.20051429462277,-1.13474156441047,-1.31963930535032,-1.22283815935871,-0.825643561394297,0.908830459292585,0.825607114684719,-2.34802534664984,-1.06121084491882,-1.23064948011424,-1.43993297762077
"34",2020-08-07,-0.494475951816559,0.193464799884652,-0.21550218732159,0.67501907924243,2.61299797075963,2.0059408203247,0.621133731330847,2.1059612536786,0.672759312125903,3.15584243681241,0.540521115047626,1.50746113587131,2.32229008195092,2.12200093512292,-0.316376203912243,0.600290751177621,1.09858973475051,0.480660767189804,-0.0851295521154685,1.83465047043164,0.534672684346355,1.81697580950692,1.34196187928483,0.384227640483063,0.0871136357070145,-0.76921518850634,0.693675755855599,-0.409032671233249,0.255027851691255,1.38883926410779,0.964600449678139,1.11762257596939,-0.129661140545338,0.416213228892604,-1.00819794144665,1.87180487223577,2.02899373766911,0.647815547911189,-0.533436262466731,0.244877335790209,-0.518718607471129,0.249791407463988,2.32286841213937,-1.19327976575762,-0.612754451606933,-1.07914701071096,-0.0901493158549266,-0.17346797769513,-1.03237212549007,-0.674330290471215,-0.91244484401235,-1.21652098641756,-0.968423567056523,-1.58076319116859,-0.627784881611223,-0.58019171077406,1.2797998873514,0.676607361752335,-1.99180582119867,-1.11685451460228,-1.39142276208313,-1.21764855487675
"35",2020-08-14,-0.360395765507771,-0.327681229961032,-0.660817164505688,0.751217392845459,1.49919473657773,0.826519548683991,0.675163916715906,2.04238725720549,0.708711525078636,2.0053308189792,0.678234346418985,0.971408220280674,2.21527558841533,1.47453766460876,-1.07296368035504,0.792186783583744,1.22561362660688,0.387137220937901,-0.0703968946196482,1.546377991901,0.249331534083638,1.76411572331665,0.941421365574857,0.356900484637836,-0.501068875429548,-0.860102225912508,-0.577239054382186,-0.625172166030457,-0.672923925988247,1.54883283942541,0.884590227191625,0.169099699045879,-0.07194585759608,1.0260324319643,-0.981421754266697,1.36906753709648,3.21398063553921,0.801529873484663,-0.552329476800393,1.54795285894559,0.0237430382198523,-0.560558061093939,2.29404466691393,-0.762446276317619,-0.966151377859435,-1.36674677378142,0.0575926167660968,-0.0582139509447921,-0.544150364940049,-0.509366344613444,-0.991232807953485,-0.750789066646005,-1.20770976496004,-1.65292941916715,-0.170000363939293,-0.452320589789724,0.915590033156493,0.361028805577117,-1.93594242960941,-1.0171375360943,-0.919998058130427,-0.91458729909175
"36",2020-08-21,-0.43523219402659,-0.815326320932811,-0.80425750963066,0.827899254172718,0.560437996662223,0.865972960713145,0.254883233898343,2.22512325046424,0.166675579647175,1.21760136154705,2.24202431969785,0.823663756295331,2.50077083731758,0.582129313161339,-1.24022011878321,0.792600290574158,0.334249468163914,0.0899246407795904,-0.202114973993811,1.22443682922505,0.560279047150122,1.60435795601494,-0.146786364952232,-0.109452238846232,-0.733131166316804,-0.976419952084672,-0.913663814827937,-1.04560081632105,-0.868070722025991,1.25244139364545,1.21079694909139,-0.0178968288780828,-0.428246147647522,1.06109091214814,-0.961743319040016,0.432607819193181,3.57153037395823,0.362639190307059,-0.4091294482315,1.76766040151634,0.711054569969407,-0.0546674182518897,1.97721908679175,-0.175158888784942,-0.867087617803557,-1.38687298303215,0.0464064303420886,-0.233895961843465,-0.138575601144442,-0.667848436721523,-0.90715561648951,-0.231806260500801,-0.933814857416481,-1.68382398001796,0.0790026142875607,-0.232544358239741,0.127395720779967,0.71859815955793,-1.12950347772879,-0.754044710182998,-0.405422552763802,-1.06245250382136
"37",2020-08-28,-0.499818093372266,-1.77790595242893,-0.948956698148102,0.787279467941554,-0.704741169518568,-0.792913409114752,-0.23162772178659,1.86906478687016,-0.0649054546438591,0.211436007233763,1.1781066644423,0.844484211089362,1.84347774472684,0.0673489661567497,-1.37553261497611,0.736379538528564,0.70923578367628,0.785631650656651,0.045972157930629,0.98748007707573,1.15658454380917,1.60006303849897,-0.0939964324474155,0.118490352562353,-1.24061119431398,-0.990000940418608,-1.37945736507567,-1.37501299377622,-0.919766571736159,0.892383605833631,2.01514248540035,0.511942435648535,-0.322555517420951,1.1494524404972,-0.439625632984467,1.69195434357137,3.87759283901867,-0.0539344862260908,-0.479681704526085,0.430460623361188,1.41588674882573,-0.522434266500635,0.973480714140414,-1.4392306414995,-1.11213061211455,-1.43587685035694,-0.719551063095733,-0.619785581220519,0.480385245663875,-0.310156848065326,-0.665119353753718,-0.775930461636777,-1.29303885440928,-1.28310446366478,-0.514664936693941,-0.596805526969907,-0.189931505491364,0.362670546358676,-0.662275445550204,-0.325236291325643,-0.379661519881759,-0.619650667864526
"38",2020-09-04,-0.758397808906869,-1.86491080530148,-1.19967606327062,0.944565744163735,-0.372517513407792,-0.910597952376223,-0.0922844058562391,1.78826049608021,-0.651780136692189,-0.203338282928498,0.992258621269041,0.135388096642809,1.35139487453277,0.829552731108666,-0.918220233482558,0.78751478790746,0.603255570733796,0.68744563916199,0.0581668766563047,1.05329548164504,1.04473848707045,0.887920608089985,0.16573633762627,0.342178859913472,-1.45803313739362,-1.2545568592359,-1.4369758311986,-1.19078897755353,-1.01590201785392,0.580715059566189,2.32207405478054,0.662105077336759,-0.369192873645355,0.948151626920911,-0.0441325844325521,2.25959209072627,3.22147309416331,-0.7270697920023,-1.12854963271434,-0.366103370623982,0.610755477247726,-0.737640278841315,0.524330922545211,-1.33134589182436,-1.14021910014411,-1.48546083047934,-0.764102406308183,-0.728341909276918,0.305394427652993,-0.465912058682719,-0.586883937190485,-0.670648789571822,-1.24687972257756,-0.887576053334749,-0.565642698342059,-0.689885884231221,-0.330614369892317,0.194200300600102,-0.890115776895695,-0.42993523674283,-0.519390846107679,-0.280150327578374
"39",2020-09-11,-1.28740707449447,-1.98767865948217,-1.38795904439413,0.897688771665983,-0.782675667022065,-1.01111091008925,-0.931707012993857,1.01550557644759,-1.37211794140447,-1.2307143275617,0.0855069148755445,-0.053876231825453,-0.461748718758877,-0.340150054739269,-1.48341311446753,0.0409039140686461,-0.148530732016722,0.729808693398971,-0.452345027355402,0.0220719509838264,0.297957477773338,0.100692576606277,0.986995767266992,-0.0909554131029987,-1.63790792922705,-1.64958583183623,-1.88366486385569,-1.4750614394637,-1.13228954963998,-0.469728865162811,0.202817741578204,-1.70278168562931,-0.783424520020023,0.108700687872159,-0.649959172498871,1.9037424250278,0.465726655217581,-0.915566014117616,-1.45512637596849,-0.845590188993921,0.504763832795178,-1.10913249408101,-0.0165218588724276,-1.4758230471869,-1.44789970074882,-1.41797582068707,-1.00392206654351,-0.899097952099002,-0.201325263849011,-0.621732262352164,-1.04582077029956,-0.97493006079061,-1.20421724913479,-1.41331932719152,-0.790419221756737,-0.953343801044806,-0.598352430639888,-0.467319779730881,-1.21993902020626,-0.736169371407442,-0.914671062632544,-0.700274889725084
