date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI
2006-4-7,-0.294137881,-1.008541162,1.535987171,-2.58296383,-2.668593063,-1.578383601,-1.008674911,-1.697700129,-1.270099356,-2.411281448,-1.112362458,-0.261949843,-2.03510946,-1.411406753,-1.559372259,-2.359139972,-2.119662514,-1.812690634,-1.609055606,-0.373260982,0.61150703,-2.39416114,-0.334085467,-1.176530106,-1.346099248,-2.187871229,-2.031169579,-0.946408961,-2.705938089
2006-4-14,0.18787674,-0.571746401,0.659101691,-2.534756286,-2.020257987,-1.463256603,-0.721889537,-1.422214795,-1.177912487,-2.145880068,-0.973082189,0.324147021,-1.475608206,-1.181084435,-1.532768341,-2.205970394,-2.147110831,-1.299754676,-1.598846476,-0.084283496,0.42054309,-2.411512069,-0.080725525,-0.78622246,-1.344650045,-2.194683097,-2.044341153,-0.664851055,-2.341296715
2006-4-21,1.004858042,-0.579162071,1.650732996,-2.253957961,-1.40709597,-1.187086866,-1.017675758,-1.684514111,-0.887466915,-1.589002034,-0.61894395,0.534712357,-1.517446097,-1.131556726,-1.470364572,-2.152810213,-2.166572317,-1.10825983,-0.180081461,0.244463354,0.253996897,-2.147389882,-0.031823029,-0.932919907,-1.242343076,-1.546694271,-2.101525879,0.401275537,-2.38528439
2006-4-28,0.901335374,0.53850606,2.500789515,-2.041875054,-1.176191514,-0.871303736,-0.952490765,-1.513194843,-0.572540745,-1.516421843,0.153289936,1.111337033,-1.474681446,-0.807848122,-1.383754679,-1.935340324,-2.18710067,-1.038796091,0.058861171,0.661943268,1.137784327,-1.282129354,0.119506873,-0.5277808,-0.859256462,-1.508084629,-2.095433771,0.100682555,-2.379695213
2006-5-12,1.741112933,0.914878767,2.69299975,-0.374556076,-0.368569774,0.743910467,0.365526993,-0.383348991,0.589310941,-0.109007435,0.789252735,1.77097107,-0.082545507,0.608360248,-0.696192618,-0.65119397,-2.064906407,0.116836147,1.122433148,1.310381348,2.036980597,-1.252976746,0.952480565,0.740250993,0.527629088,-1.356782658,-1.680752688,1.456866435,-2.091764168
2006-5-19,2.08437854,1.794942298,1.840749303,0.361997996,1.555920271,1.271645721,0.306486761,0.527804047,1.18481668,0.326402953,0.922434621,2.279474071,0.588284052,1.855952009,-0.187520068,1.729353088,-0.919847753,0.852889573,1.943791726,2.078846595,2.093191923,0.411601404,0.38483929,1.287502993,2.061358556,0.22505164,-1.03808519,0.738511238,-0.674447368
2006-5-26,1.398625908,-0.172832704,0.219007425,-0.948088639,0.93750402,-0.10807729,0.531539115,-0.100442524,-0.326320199,0.532930271,-0.075893253,1.457765497,0.053404201,-0.320771099,-0.372355823,0.038363457,-1.135791168,0.051852905,0.075641111,1.071267485,1.795974998,0.153082633,-0.187421325,-0.036609001,-0.027216522,0.483865634,-1.639301012,-0.57317903,-0.549379491
2006-6-2,0.484056695,-0.243251666,-0.606584285,-0.494400919,0.722278621,0.262878832,1.780371238,1.161080469,0.269965783,0.910460133,0.174087125,1.822156538,0.681083392,-0.004403197,1.290793501,-0.03767631,-0.711839633,0.63934775,-0.356347675,0.525875724,0.778056956,-0.14233831,0.375002085,0.872437926,0.079399042,0.160456141,-1.168921959,-0.468558958,-0.288113019
2006-6-9,-0.519226194,-0.643399656,-0.545971165,-1.229393985,0.083653704,-0.501465444,2.110380237,0.183474598,-0.638754747,-0.392061359,-1.03357641,1.045289036,-0.259134063,-1.250482461,0.447682697,-0.759363553,-0.992693144,-0.559138715,-0.989718163,-0.271932841,0.755223956,-1.006785376,-0.151842273,0.562999152,-0.454634756,-0.388136246,-1.408573562,-0.047148642,-0.421878783
2006-6-16,-0.607722258,-1.488634302,-0.127257826,-2.305705318,-1.512648325,-1.506706883,0.389814874,-0.781541526,-1.950769057,-1.412951675,-1.519031151,-0.182302014,-1.161967652,-1.750226062,-1.259425915,-1.330026473,-1.599742383,-1.481975759,-1.521862944,-1.020352468,-0.416874939,-1.371604039,-1.80858434,-0.790011252,-1.024397092,-1.210827266,-2.068048582,-1.515650733,-2.151674555
2006-6-23,-0.375091508,-1.401901008,-0.568422808,-1.832072663,-1.815378442,-1.107998848,0.248813982,-0.860509785,-1.815358091,-1.279430056,-1.224108268,-0.293310086,-1.497910298,-1.58273288,-0.767893734,-1.180580222,-1.340837355,-1.294193676,-1.029067421,-0.466801427,-0.709411911,-0.600997167,-1.68435433,-0.702126375,-1.355093281,-1.10727965,-1.772511252,-1.503569208,-1.806909509
2006-6-30,-0.502694215,-0.688295098,-0.523537144,-1.030334635,-1.139455716,-0.266448374,-0.110629343,-0.796895116,-0.752372748,0.36135699,0.033495559,1.068386301,-0.969364348,-0.582896522,-0.741139057,-0.749930113,-0.557115421,-0.992958019,2.002760642,0.894508343,-1.109282282,-0.512261033,-1.903273703,-1.565839324,-0.303873166,-1.208202536,-2.130876028,-2.15266872,-1.166471719
2006-7-7,-1.011175224,-1.161237329,0.222433391,-1.200322785,-1.426808748,0.019180522,1.335638124,-0.145439043,-0.37904594,0.443127552,0.34722905,2.634083721,0.094906836,-0.468035686,-0.336373832,-0.694149638,-0.544909955,-0.147865107,-0.423323738,0.490858197,-0.672517775,-0.361731409,-1.099215771,-0.30689124,-1.05470226,0.59659337,-1.246963912,-1.295266257,1.075656312
2006-7-14,-1.479993541,-1.208311537,-0.205531857,-1.226459085,-1.592546684,0.100461181,1.542763973,0.011549122,-0.933308675,0.395297555,0.636512974,2.941063429,0.36212102,-0.239124233,0.443848486,-0.781453047,-1.072693365,-0.597563821,-0.646374657,0.139406925,-1.261723273,-0.479682304,-0.291677964,-0.359660883,-0.882831333,-0.342488685,-1.378034475,-0.877002427,0.224767579
2006-7-21,-1.485665949,-1.560015391,-1.019644529,-1.623676271,-1.913231653,-0.311415755,0.582551164,-1.2203628,-1.503288845,-1.17784028,-1.304238766,-0.592369103,-1.004669677,-0.873233603,-0.689866718,-1.52257704,-1.82176398,-1.361732267,-1.391442413,-0.938081986,-1.329115661,-0.590608652,-0.733878139,-0.783867872,-1.204711376,-1.089509159,-1.373372343,-0.85549725,-0.945335117
2006-7-28,-1.495002086,-1.666627107,-1.107258591,-1.737141537,-1.914818634,-0.84464075,0.704486418,-1.36025741,-1.557383093,-0.709619848,-1.38192435,-1.082665236,-1.195170228,-0.890603254,-0.634406045,-1.48742451,-1.776938118,-1.269343704,-1.318367407,-0.89460505,-1.337661602,-0.988511424,-0.561729966,-1.392388841,-1.29407117,-1.416213988,-1.534425994,-1.483090181,-0.898036773
2006-8-4,-1.553648065,-1.684340353,-1.116286345,-1.775922685,-1.934579382,-0.969669476,-0.327887329,-1.532931896,-1.60015117,-1.026427322,-1.457229072,-1.288913477,-1.381027209,-1.19311521,-1.139152877,-1.612531238,-1.875287361,-1.491824511,-1.552736766,-1.196460734,-1.384323592,-1.258980709,-0.945833801,-1.442130467,-1.36982272,-1.450096515,-1.604487705,-1.54651585,-1.226043929
2006-8-11,-1.53251092,-1.700763972,-1.206707763,-1.792661415,-1.937091928,-1.003185588,-0.388805141,-1.609022284,-1.664607812,-1.335344619,-1.434467418,-1.461319801,-1.394975857,-1.234166363,-1.208202453,-1.687711018,-1.90573894,-1.49436664,-1.693199415,-1.299085821,-1.438363131,-1.231783517,-0.909468357,-1.453065751,-1.41578243,-1.52582705,-1.631966303,-1.579422498,-1.349924001
2006-8-18,-1.603628349,-1.71340669,-1.200411618,-1.838249532,-1.958464634,-1.128313708,-0.697873112,-1.724224672,-1.678752122,-1.632828554,-1.620065356,-1.504091262,-1.476650017,-1.276896175,-1.287597747,-1.745840912,-1.926046659,-1.618274231,-1.753245302,-1.560220914,-1.449451008,-1.153224241,-0.824662078,-1.492325002,-1.487008081,-1.597822499,-1.66167138,-1.600503631,-1.496064719
2006-8-25,-1.625322932,-1.730063202,-0.968472425,-1.854031578,-1.975776036,-1.134341447,-0.623189649,-1.585559947,-1.647100703,-1.567532871,-1.53259533,-1.317034477,-1.503432436,-1.223176361,-1.105343733,-1.793920507,-1.919451649,-1.531099292,-1.636113435,-1.473952413,-1.423557696,-1.055969834,-1.073511415,-1.465147697,-1.454556119,-1.522853347,-1.640292617,-1.607045752,-1.54736457
2006-9-1,-1.642582207,-1.742309664,-1.191386649,-1.863432892,-2.011641112,-1.090356592,-0.631968133,-1.491397749,-1.607384755,-1.213545238,-1.403603235,-1.343762458,-1.429960708,-0.911553339,-0.32261601,-1.685623363,-1.847184474,-1.515744027,-1.566770671,-1.238186401,-1.432841355,-0.936492712,0.02183868,-1.446455616,-1.446618753,-1.520347704,-1.07783449,-1.546631788,-1.365256584
2006-9-8,-1.648591953,-1.679585652,-1.209767945,-1.886277666,-2.011193017,-1.227380221,-0.557017596,-1.476919591,-1.605242343,-1.335798402,-1.485438187,-1.22738418,-1.488586636,-1.057529821,-0.247056484,-1.735225456,-1.889566561,-1.556243394,-1.653980139,-1.27743531,-1.432176135,-1.088339081,-0.321813065,-1.459647972,-1.489016218,-1.534343434,-1.416800794,-1.548038058,-1.433808996
2006-9-15,-1.644634637,-1.653252603,-1.23916377,-1.906220485,-2.056293117,-1.238272696,-0.624851586,-1.515232747,-1.573220448,-1.331572628,-1.521841254,-1.262349215,-1.479135419,-1.119896443,-0.566688774,-1.744667529,-1.906778143,-1.554296,-1.652184086,-1.35428139,-1.218343787,-0.978187793,-0.30853936,-1.347432387,-1.469980167,-1.536125435,-1.406448496,-1.586883837,-1.404194006
