申万一级行业代码,申万一级行业名称,申万二级行业代码,申万二级行业名称,申万三级行业代码,申万三级行业名称
,,801711.SI,水泥(申万),850841.SI,其他电子Ⅲ(申万)
,,801712.SI,玻璃玻纤(申万),850853.SI,品牌消费电子(申万)
,,801713.SI,装修建材(申万),850854.SI,消费电子零部件及组装(申万)
,,801721.SI,房屋建设Ⅱ(申万),850861.SI,电子化学品Ⅲ(申万)
,,801722.SI,装修装饰Ⅱ(申万),850912.SI,商用载货车(申万)
,,801723.SI,基础建设(申万),850913.SI,商用载客车(申万)
,,801724.SI,专业工程(申万),850922.SI,车身附件及饰件(申万)
,,801726.SI,工程咨询服务Ⅱ(申万),850923.SI,底盘与发动机系统(申万)
,,801731.SI,电机Ⅱ(申万),850924.SI,轮胎轮毂(申万)
,,801733.SI,其他电源设备Ⅱ(申万),850925.SI,其他汽车零部件(申万)
,,801735.SI,光伏设备(申万),850926.SI,汽车电子电气系统(申万)
,,801736.SI,风电设备(申万),850935.SI,航海装备Ⅲ(申万)
,,801737.SI,电池(申万),850936.SI,轨交设备Ⅲ(申万)
,,801738.SI,电网设备(申万),850952.SI,综合乘用车(申万)
,,801741.SI,航天装备Ⅱ(申万),851024.SI,通信网络设备及器件(申万)
,,801742.SI,航空装备Ⅱ(申万),851025.SI,通信线缆及配套(申万)
,,801743.SI,地面兵装Ⅱ(申万),851026.SI,通信终端及配件(申万)
,,801744.SI,航海装备Ⅱ(申万),851027.SI,其他通信设备(申万)
,,801745.SI,军工电子Ⅱ(申万),851041.SI,垂直应用软件(申万)
,,801764.SI,游戏Ⅱ(申万),851042.SI,横向通用软件(申万)
,,801765.SI,广告营销(申万),851112.SI,空调(申万)
,,801766.SI,影视院线(申万),851116.SI,冰洗(申万)
,,801767.SI,数字媒体(申万),851122.SI,其他黑色家电(申万)
,,801769.SI,出版(申万),851131.SI,厨房小家电(申万)
,,801782.SI,国有大型银行Ⅱ(申万),851141.SI,厨房电器(申万)
,,801783.SI,股份制银行Ⅱ(申万),851151.SI,照明设备Ⅲ(申万)
,,801784.SI,城商行Ⅱ(申万),851161.SI,家电零部件Ⅲ(申万)
,,801785.SI,农商行Ⅱ(申万),851232.SI,啤酒(申万)
,,801881.SI,摩托车及其他(申万),851233.SI,其他酒类(申万)
,,801951.SI,煤炭开采(申万),851241.SI,肉制品(申万)
,,801952.SI,焦炭Ⅱ(申万),851242.SI,调味发酵品Ⅲ(申万)
,,801962.SI,油服工程(申万),851243.SI,乳品(申万)
,,801963.SI,炼化及贸易(申万),851246.SI,预加工食品(申万)
,,801971.SI,环境治理(申万),851247.SI,保健品(申万)
,,801972.SI,环保设备Ⅱ(申万),851251.SI,白酒Ⅲ(申万)
,,801981.SI,个护用品(申万),851271.SI,软饮料(申万)
,,801982.SI,化妆品(申万),851281.SI,零食(申万)
,,801991.SI,航空机场(申万),851282.SI,烘焙食品(申万)
,,801992.SI,航运港口(申万),851312.SI,棉纺(申万)
,,801993.SI,旅游及景区(申万),851314.SI,印染(申万)
,,801994.SI,教育(申万),851315.SI,辅料(申万)
,,801995.SI,电视广播Ⅱ(申万),851316.SI,其他纺织(申万)
,,,,851325.SI,鞋帽及其他(申万)
,,,,851326.SI,家纺(申万)
,,,,851329.SI,非运动服装(申万)
,,,,851331.SI,钟表珠宝(申万)
,,,,851412.SI,大宗用纸(申万)
,,,,851413.SI,特种纸(申万)
,,,,851422.SI,印刷(申万)
,,,,851423.SI,金属包装(申万)
,,,,851424.SI,塑料包装(申万)
,,,,851425.SI,纸包装(申万)
,,,,851436.SI,瓷砖地板(申万)
,,,,851437.SI,成品家居(申万)
,,,,851438.SI,定制家居(申万)
,,,,851439.SI,卫浴制品(申万)
,,,,851452.SI,娱乐用品(申万)
,,,,851491.SI,其他家居用品(申万)
,,,,851511.SI,原料药(申万)
,,,,851512.SI,化学制剂(申万)
,,,,851521.SI,中药Ⅲ(申万)
,,,,851522.SI,血液制品(申万)
,,,,851523.SI,疫苗(申万)
,,,,851524.SI,其他生物制品(申万)
,,,,851532.SI,医疗设备(申万)
,,,,851533.SI,医疗耗材(申万)
,,,,851534.SI,体外诊断(申万)
,,,,851542.SI,医药流通(申万)
,,,,851543.SI,线下药店(申万)
,,,,851563.SI,医疗研发外包(申万)
,,,,851564.SI,医院(申万)
,,,,851610.SI,电能综合服务(申万)
,,,,851611.SI,火力发电(申万)
,,,,851612.SI,水力发电(申万)
,,,,851614.SI,热力服务(申万)
,,,,851616.SI,光伏发电(申万)
,,,,851617.SI,风力发电(申万)
,,,,851631.SI,燃气Ⅲ(申万)
,,,,851711.SI,港口(申万)
,,,,851721.SI,公交(申万)
,,,,851731.SI,高速公路(申万)
,,,,851741.SI,航空运输(申万)
,,,,851761.SI,航运(申万)
,,,,851771.SI,铁路运输(申万)
,,,,851782.SI,原材料供应链服务(申万)
,,,,851783.SI,中间产品及消费品供应链服务(申万)
,,,,851784.SI,快递(申万)
,,,,851785.SI,跨境物流(申万)
,,,,851786.SI,仓储物流(申万)
,,,,851787.SI,公路货运(申万)
